label,os,is_mobile,country,pageviews
0,(not set),False,United States,1
0,Nintendo Wii,False,United Kingdom,1
0,(not set),True,Lebanon,1
0,Firefox OS,True,Mexico,1
0,Windows Phone,True,Vietnam,1
0,Windows Phone,True,United States,1
0,Samsung,True,India,2
0,Windows Phone,True,Vietnam,1
0,(not set),True,Laos,1
0,(not set),False,Switzerland,1
0,(not set),True,South Africa,1
0,Windows Phone,True,Romania,2
0,(not set),True,Nigeria,5
0,(not set),True,Nigeria,10
0,Windows Phone,True,Slovakia,2
0,(not set),True,Turkey,4
0,(not set),True,India,3
0,(not set),True,Nigeria,9
0,(not set),True,India,1
0,(not set),True,Nigeria,1
0,(not set),True,India,1
0,(not set),True,India,1
0,(not set),True,India,1
0,(not set),True,India,1
0,(not set),True,Nigeria,1
0,Samsung,True,India,1
0,Samsung,True,Bangladesh,1
0,(not set),False,Saudi Arabia,2
0,(not set),True,Vietnam,2
0,(not set),True,Nigeria,4
0,(not set),True,Cambodia,2
0,(not set),True,India,1
0,Windows Phone,True,Mexico,1
0,(not set),True,India,1
0,(not set),True,India,1
0,(not set),True,India,1
0,(not set),True,Pakistan,1
0,(not set),True,Nigeria,1
0,(not set),True,Iraq,1
0,(not set),True,Mozambique,1
0,Windows Phone,True,Nigeria,1
0,Windows Phone,True,Uruguay,1
0,Windows Phone,True,Vietnam,1
0,(not set),True,Indonesia,1
0,(not set),True,South Africa,1
0,Windows Phone,True,Vietnam,2
0,Windows Phone,True,Kenya,3
0,(not set),True,Morocco,6
0,(not set),True,Tanzania,1
0,(not set),False,United States,1
0,(not set),False,United States,1
0,(not set),False,United States,1
0,(not set),False,United States,4
0,(not set),True,India,4
0,(not set),True,Côte d’Ivoire,3
0,Windows Phone,True,Romania,7
0,(not set),True,Ukraine,3
0,(not set),True,Côte d’Ivoire,6
0,(not set),True,Bangladesh,3
0,(not set),True,Nigeria,11
0,(not set),False,France,1
0,(not set),True,Thailand,1
0,Windows Phone,True,United Kingdom,1
0,(not set),True,Azerbaijan,1
0,(not set),True,Cameroon,1
0,Windows Phone,True,Romania,1
0,(not set),True,Pakistan,1
0,(not set),True,Ghana,1
0,(not set),True,Nigeria,1
0,(not set),True,Peru,3
0,(not set),True,Nigeria,3
0,Samsung,True,India,1
0,(not set),True,Romania,1
0,Windows Phone,True,Thailand,2
0,(not set),True,Cameroon,1
0,Nintendo WiiU,True,United States,1
0,(not set),True,India,1
0,(not set),True,(not set),1
0,Windows Phone,True,Kosovo,1
0,Windows Phone,True,Vietnam,2
0,(not set),True,India,1
0,(not set),True,Côte d’Ivoire,1
0,(not set),True,Kenya,1
0,(not set),True,Morocco,1
0,Windows Phone,True,Kazakhstan,1
0,(not set),True,Tunisia,1
0,(not set),True,Sudan,1
0,Samsung,True,Turkey,1
0,(not set),True,Kazakhstan,1
0,(not set),True,Cambodia,2
0,(not set),True,Congo - Kinshasa,8
0,(not set),True,India,1
0,(not set),False,Sweden,1
0,(not set),True,Indonesia,1
0,(not set),True,Côte d’Ivoire,2
0,(not set),True,Côte d’Ivoire,2
0,(not set),True,Ghana,2
0,(not set),True,South Africa,1
0,(not set),True,India,1
0,(not set),True,Nigeria,2
0,Windows Phone,True,United States,1
0,(not set),True,Nigeria,1
0,BlackBerry,True,Canada,1
0,(not set),True,Peru,1
0,Samsung,True,India,1
0,(not set),False,United States,1
0,(not set),True,Côte d’Ivoire,1
0,Windows Phone,True,Bulgaria,2
0,Windows Phone,True,Czechia,2
0,(not set),True,Venezuela,3
0,Samsung,True,Sudan,2
0,Windows Phone,True,Pakistan,17
0,(not set),True,Sudan,1
0,(not set),True,Russia,1
0,Windows Phone,True,Vietnam,2
0,(not set),True,Russia,2
0,(not set),True,Burundi,3
0,(not set),True,Gambia,3
0,(not set),True,Chad,4
0,(not set),True,Bangladesh,5
0,(not set),True,Ghana,4
0,(not set),True,Nigeria,5
0,(not set),True,Tanzania,5
0,(not set),True,Côte d’Ivoire,6
0,Windows Phone,True,India,1
0,(not set),True,Uganda,1
0,Windows Phone,True,United States,1
0,(not set),True,Côte d’Ivoire,1
0,Nintendo Wii,False,Germany,1
0,Windows Phone,True,United States,1
0,Windows Phone,True,Belgium,1
0,(not set),True,Thailand,1
0,BlackBerry,True,Poland,1
0,Nintendo Wii,False,Japan,1
0,Windows Phone,True,Pakistan,1
0,(not set),True,Mozambique,1
0,Nintendo Wii,False,Japan,1
0,BlackBerry,True,Hungary,1
0,(not set),True,Senegal,2
0,(not set),True,Côte d’Ivoire,2
0,Samsung,True,India,3
0,Windows Phone,True,Greece,1
0,Samsung,True,India,2
0,(not set),True,Kenya,4
0,(not set),True,South Africa,1
0,(not set),True,Nigeria,1
0,Samsung,True,India,1
0,(not set),True,Nigeria,1
